epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,847.142,1.84673,2.32229,2.0197,0.50421,0.43082,0.42211,0.18546,1.79967,2.48327,2.05754,0.0700117,0.00333204,0.00333204
2,1653.13,1.74167,2.14014,1.94312,0.53757,0.51347,0.51122,0.24279,1.65465,1.9995,1.91771,0.0398797,0.0065334,0.0065334
3,2437.85,1.68279,2.00832,1.88972,0.58701,0.54904,0.56761,0.28873,1.58844,1.62315,1.88506,0.0096157,0.00960276,0.00960276
4,3219.26,1.62761,1.88326,1.8417,0.65304,0.58093,0.62634,0.32955,1.54737,1.53271,1.82694,0.009406,0.009406,0.009406
5,3999.75,1.58691,1.80432,1.80966,0.64998,0.60775,0.65793,0.35231,1.5154,1.42184,1.81703,0.009208,0.009208,0.009208
6,4783.03,1.55798,1.73838,1.78179,0.67969,0.61998,0.68278,0.38372,1.46227,1.3435,1.75924,0.00901,0.00901,0.00901
7,5570.76,1.53186,1.67955,1.75892,0.68718,0.66347,0.70703,0.40601,1.4039,1.25464,1.71494,0.008812,0.008812,0.008812
8,6351.79,1.5047,1.6269,1.73968,0.6864,0.66777,0.71182,0.40912,1.40924,1.23096,1.72994,0.008614,0.008614,0.008614
9,7131.86,1.47794,1.58747,1.71974,0.69258,0.70572,0.72614,0.42412,1.38782,1.20815,1.69061,0.008416,0.008416,0.008416
10,7911.87,1.46819,1.54663,1.70827,0.70625,0.70422,0.72994,0.43039,1.36534,1.18646,1.68474,0.008218,0.008218,0.008218
11,8692.72,1.45153,1.51196,1.69617,0.70726,0.73528,0.74798,0.44286,1.36011,1.12395,1.66791,0.00802,0.00802,0.00802
12,9473.19,1.43306,1.47819,1.68076,0.71601,0.72485,0.75453,0.45067,1.3474,1.10935,1.66209,0.007822,0.007822,0.007822
13,10253.6,1.41934,1.44756,1.6678,0.74365,0.72148,0.76413,0.45941,1.3442,1.06757,1.66459,0.007624,0.007624,0.007624
14,11033.6,1.40805,1.41485,1.6547,0.73839,0.73099,0.76656,0.46458,1.33301,1.05035,1.65032,0.007426,0.007426,0.007426
15,11814.1,1.39459,1.3899,1.64258,0.74661,0.73143,0.77163,0.46938,1.32825,1.0444,1.64359,0.007228,0.007228,0.007228
16,12594.2,1.38404,1.36362,1.62925,0.74483,0.75378,0.77516,0.47394,1.32417,1.02335,1.64487,0.00703,0.00703,0.00703
17,13374.4,1.37502,1.34893,1.62553,0.74972,0.75505,0.78026,0.47986,1.31466,1.00378,1.6325,0.006832,0.006832,0.006832
18,14154.6,1.36585,1.32388,1.61722,0.75357,0.7609,0.78332,0.48315,1.31338,0.99355,1.62783,0.006634,0.006634,0.006634
19,14935,1.35298,1.29831,1.60257,0.7473,0.76619,0.78463,0.48708,1.31185,0.98389,1.62639,0.006436,0.006436,0.006436
20,15715,1.34419,1.27924,1.59641,0.76079,0.75918,0.78757,0.48956,1.3087,0.97049,1.6234,0.006238,0.006238,0.006238
21,16494.9,1.33415,1.26147,1.58715,0.75505,0.76892,0.79028,0.49217,1.30579,0.96345,1.61892,0.00604,0.00604,0.00604
22,17275.1,1.32369,1.24083,1.57767,0.75761,0.77139,0.79177,0.49521,1.30124,0.95352,1.61406,0.005842,0.005842,0.005842
23,18055.4,1.30956,1.2272,1.56793,0.76681,0.76982,0.79217,0.49674,1.2986,0.94606,1.61156,0.005644,0.005644,0.005644
24,18835.7,1.30859,1.2129,1.5631,0.76638,0.77063,0.7921,0.49632,1.29534,0.9377,1.60985,0.005446,0.005446,0.005446
25,19616.4,1.30129,1.19962,1.55813,0.76769,0.77294,0.79337,0.49812,1.29337,0.93286,1.60736,0.005248,0.005248,0.005248
26,20397.6,1.29297,1.18448,1.54954,0.76645,0.77984,0.79464,0.49929,1.29256,0.92635,1.60613,0.00505,0.00505,0.00505
27,21177.8,1.28342,1.16735,1.54154,0.76399,0.78206,0.79515,0.4996,1.29228,0.9223,1.60629,0.004852,0.004852,0.004852
28,21958.9,1.27707,1.15267,1.53302,0.76256,0.78752,0.79651,0.50127,1.29017,0.9201,1.60422,0.004654,0.004654,0.004654
