epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,647.134,1.27005,1.09852,1.57735,0.78989,0.76496,0.79308,0.47984,1.39548,0.8937,1.65708,0.0667259,3.33075e-05,3.33075e-05
2,1289.65,1.23735,1.04743,1.5489,0.79746,0.78411,0.81728,0.50445,1.34174,0.84462,1.5923,0.0334237,6.44416e-05,6.44416e-05
3,1927.08,1.20608,0.99653,1.52556,0.78942,0.79299,0.80951,0.51049,1.32152,0.82978,1.59652,0.000119256,9.33758e-05,9.33758e-05
4,2563.83,1.19571,0.97829,1.51677,0.79125,0.79253,0.80947,0.51167,1.32165,0.83209,1.59817,9.01e-05,9.01e-05,9.01e-05
5,3198.87,1.19293,0.97581,1.51313,0.7959,0.79321,0.81097,0.51229,1.32329,0.82587,1.59478,8.68e-05,8.68e-05,8.68e-05
6,3833.74,1.18944,0.97787,1.5146,0.79654,0.79071,0.81058,0.51198,1.31932,0.824,1.59152,8.35e-05,8.35e-05,8.35e-05
7,4468.38,1.19076,0.97806,1.51332,0.79597,0.79276,0.81173,0.51237,1.32031,0.82705,1.59762,8.02e-05,8.02e-05,8.02e-05
8,5101.2,1.18762,0.97183,1.50901,0.7949,0.79229,0.81276,0.51365,1.32219,0.8213,1.5967,7.69e-05,7.69e-05,7.69e-05
9,5732.7,1.18908,0.97494,1.51064,0.79967,0.79358,0.81348,0.51406,1.31749,0.82187,1.59271,7.36e-05,7.36e-05,7.36e-05
10,6363.78,1.18621,0.97644,1.51145,0.79529,0.79518,0.81169,0.51304,1.31844,0.82163,1.59258,7.03e-05,7.03e-05,7.03e-05
11,6998.81,1.18638,0.96834,1.50891,0.79614,0.78973,0.81249,0.51313,1.31659,0.82256,1.59146,6.7e-05,6.7e-05,6.7e-05
12,7637.52,1.18231,0.97128,1.50855,0.79869,0.7931,0.81239,0.51272,1.31745,0.82149,1.59203,6.37e-05,6.37e-05,6.37e-05
13,8275.88,1.18655,0.97053,1.5096,0.7995,0.79355,0.81369,0.51488,1.31824,0.81964,1.59124,6.04e-05,6.04e-05,6.04e-05
14,8915.46,1.1825,0.96532,1.51033,0.80168,0.79325,0.81332,0.51478,1.31746,0.81988,1.59187,5.71e-05,5.71e-05,5.71e-05
15,9552.91,1.18477,0.96986,1.51144,0.79795,0.79361,0.81339,0.51493,1.31761,0.81943,1.59114,5.38e-05,5.38e-05,5.38e-05
16,10191.4,1.18426,0.96985,1.50912,0.79623,0.79656,0.81479,0.51546,1.31779,0.81812,1.5924,5.05e-05,5.05e-05,5.05e-05
17,10830.8,1.184,0.96948,1.50659,0.79613,0.79814,0.81522,0.51558,1.31723,0.81838,1.59249,4.72e-05,4.72e-05,4.72e-05
18,11470.5,1.18021,0.96841,1.50626,0.79856,0.79838,0.81569,0.5155,1.31697,0.81803,1.59202,4.39e-05,4.39e-05,4.39e-05
19,12109.7,1.18282,0.96734,1.5057,0.7992,0.79465,0.81574,0.51571,1.31681,0.81832,1.59114,4.06e-05,4.06e-05,4.06e-05
20,12750.1,1.18425,0.96696,1.50572,0.79938,0.79461,0.81589,0.51611,1.31714,0.81914,1.59161,3.73e-05,3.73e-05,3.73e-05
21,13388,1.06864,0.61137,1.3898,0.80214,0.7958,0.81543,0.51521,1.3164,0.81857,1.59152,3.4e-05,3.4e-05,3.4e-05
22,14025,1.067,0.6012,1.38868,0.80029,0.79867,0.81574,0.5149,1.31658,0.8198,1.59147,3.07e-05,3.07e-05,3.07e-05
23,14661.4,1.06504,0.59884,1.38678,0.80118,0.80025,0.81563,0.51542,1.31679,0.82036,1.59177,2.74e-05,2.74e-05,2.74e-05
24,15298.2,1.06241,0.59491,1.38441,0.80098,0.80073,0.81597,0.51579,1.31668,0.82017,1.59207,2.41e-05,2.41e-05,2.41e-05
25,15934.6,1.06222,0.59432,1.38447,0.8014,0.80137,0.81566,0.51589,1.31655,0.82029,1.59214,2.08e-05,2.08e-05,2.08e-05
26,16570.5,1.06023,0.59259,1.38274,0.80188,0.80217,0.81573,0.51576,1.31644,0.82039,1.59256,1.75e-05,1.75e-05,1.75e-05
27,17198.6,1.05885,0.59281,1.38271,0.80186,0.80152,0.81457,0.51565,1.31661,0.82057,1.59306,1.42e-05,1.42e-05,1.42e-05
28,17824.1,1.05713,0.59037,1.38114,0.80317,0.80073,0.81475,0.51587,1.31641,0.82098,1.59304,1.09e-05,1.09e-05,1.09e-05
29,18456,1.05811,0.58835,1.38133,0.80353,0.80091,0.81569,0.51601,1.31645,0.82105,1.59329,7.6e-06,7.6e-06,7.6e-06
30,19082,1.0594,0.58985,1.38262,0.80333,0.79973,0.81554,0.51579,1.31628,0.82123,1.59325,4.3e-06,4.3e-06,4.3e-06
