epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.903,1.33942,1.11369,1.45127,0.71798,0.66206,0.70076,0.37877,1.5861,1.19195,1.61093,0.0668591,0.000166537,0.000166537
2,403.988,1.31566,1.06937,1.43111,0.78271,0.72058,0.77934,0.46493,1.40299,1.01062,1.47213,0.0336921,0.000332892,0.000332892
3,598.349,1.29813,1.03952,1.41704,0.74133,0.74253,0.76663,0.45948,1.3779,1.00664,1.4556,0.000523878,0.000497998,0.000497998
4,792.563,1.2927,1.02919,1.41349,0.75524,0.73838,0.76869,0.46192,1.38468,0.98336,1.4566,0.000495793,0.000495793,0.000495793
5,987.25,1.29095,1.02593,1.41023,0.73029,0.75451,0.76825,0.46074,1.38894,0.99724,1.45753,0.000492539,0.000492539,0.000492539
6,1181.74,1.28938,1.017,1.40724,0.76761,0.74403,0.78442,0.47512,1.36937,0.96219,1.45089,0.000488376,0.000488376,0.000488376
7,1376.25,1.28928,1.0119,1.40206,0.7631,0.75849,0.78687,0.47832,1.37635,0.94299,1.44606,0.000483322,0.000483322,0.000483322
8,1570.63,1.28496,1.01273,1.40499,0.75845,0.7605,0.78272,0.47218,1.37931,0.94594,1.44714,0.000477396,0.000477396,0.000477396
9,1764.29,1.28402,1.00386,1.3965,0.77006,0.75014,0.78905,0.48239,1.37226,0.93184,1.43481,0.000470623,0.000470623,0.000470623
10,1958.11,1.27632,0.99843,1.39105,0.76737,0.74944,0.77917,0.4782,1.36608,0.93364,1.44917,0.000463028,0.000463028,0.000463028
11,2151.05,1.27353,0.99249,1.39176,0.77542,0.75082,0.78953,0.48522,1.36568,0.92641,1.43255,0.000454642,0.000454642,0.000454642
12,2345.69,1.26913,0.98659,1.38805,0.76458,0.75958,0.78733,0.48324,1.35925,0.92171,1.42947,0.000445497,0.000445497,0.000445497
13,2539.6,1.26873,0.98125,1.38345,0.76712,0.76986,0.79546,0.4902,1.35473,0.89497,1.42276,0.00043563,0.00043563,0.00043563
14,2733.9,1.26174,0.97336,1.38219,0.77761,0.76514,0.79282,0.4902,1.35448,0.8899,1.42167,0.00042508,0.00042508,0.00042508
15,2927.99,1.2618,0.97171,1.3804,0.75878,0.77867,0.79064,0.48975,1.3483,0.89304,1.42235,0.000413888,0.000413888,0.000413888
