Timestamp,Location,Vehicle ID,Speed (km/h),Crash Probability (%),Risk Factors
2025-04-17 18:08:22,"Ahmedabad, India",1,7,18,Normal Driving
2025-04-17 18:08:22,"Ahmedabad, India",2,9,8,Normal Driving
2025-04-17 18:08:22,"Ahmedabad, India",3,10,12,Normal Driving
2025-04-17 18:08:22,"Ahmedabad, India",4,30,23,Normal Driving
2025-04-17 18:08:22,"Ahmedabad, India",5,8,18,Normal Driving
2025-04-17 18:08:22,"Ahmedabad, India",6,30,22,Normal Driving
2025-04-17 18:08:22,"Ahmedabad, India",7,14,10,Normal Driving
2025-04-17 18:08:22,"Ahmedabad, India",8,58,22,Normal Driving
2025-04-17 18:08:22,"Ahmedabad, India",9,72,30,Very Erratic Movement
2025-04-17 18:08:22,"Ahmedabad, India",10,79,35,Normal Driving
2025-04-17 18:08:22,"Ahmedabad, India",11,73,35,Normal Driving
2025-04-17 18:08:22,"Ahmedabad, India",12,67,35,Normal Driving
2025-04-17 18:08:22,"Ahmedabad, India",13,22,12,Normal Driving
2025-04-17 18:08:22,"Ahmedabad, India",14,90,60,"High Speed, Very Erratic Movement"
2025-04-17 18:08:22,"Ahmedabad, India",15,4,25,Very Erratic Movement
2025-04-17 18:08:22,"Ahmedabad, India",16,11,12,Normal Driving
2025-04-17 18:08:22,"Ahmedabad, India",17,28,12,Normal Driving
